STATEFP,COUNTYFP,TRACTCE,GEOID,date,flares
48,013,960100,48013960100,2018-05-19,1
48,013,960100,48013960100,2018-05-22,1
48,013,960100,48013960100,2018-05-25,3
48,013,960100,48013960100,2018-05-26,1
48,013,960100,48013960100,2018-05-27,2
48,013,960100,48013960100,2018-05-29,1
48,013,960100,48013960100,2018-06-02,1
48,013,960100,48013960100,2018-06-07,1
48,013,960100,48013960100,2018-06-08,1
48,013,960100,48013960100,2018-06-10,2
48,013,960100,48013960100,2018-06-17,2
48,013,960100,48013960100,2018-06-23,1
48,013,960100,48013960100,2018-06-27,1
48,013,960100,48013960100,2018-06-29,1
48,013,960100,48013960100,2018-07-03,1
48,013,960100,48013960100,2018-07-08,1
48,013,960100,48013960100,2018-07-11,3
48,013,960100,48013960100,2018-07-13,1
48,013,960100,48013960100,2018-07-14,1
48,013,960100,48013960100,2018-07-15,2
48,013,960100,48013960100,2018-07-19,1
48,013,960100,48013960100,2018-07-21,1
48,013,960100,48013960100,2018-07-25,1
48,013,960100,48013960100,2018-07-28,3
48,013,960100,48013960100,2018-07-30,2
48,013,960100,48013960100,2018-08-01,1
48,013,960100,48013960100,2018-08-05,1
48,013,960100,48013960100,2018-08-09,1
48,013,960100,48013960100,2018-08-15,2
48,013,960100,48013960100,2018-08-16,1
48,013,960100,48013960100,2018-08-18,1
48,013,960100,48013960100,2018-08-23,5
48,013,960100,48013960100,2018-08-25,1
48,013,960100,48013960100,2018-08-26,2
48,013,960100,48013960100,2018-08-27,3
48,013,960100,48013960100,2018-08-28,2
48,013,960100,48013960100,2018-08-30,2
48,013,960100,48013960100,2018-08-31,3
48,013,960100,48013960100,2018-09-01,1
48,013,960100,48013960100,2018-09-02,1
48,013,960100,48013960100,2018-09-03,1
48,013,960100,48013960100,2018-09-06,1
48,013,960100,48013960100,2018-09-19,1
48,013,960100,48013960100,2018-09-24,1
48,013,960100,48013960100,2018-09-26,1
48,013,960100,48013960100,2018-09-30,1
48,013,960100,48013960100,2018-10-28,1
48,013,960100,48013960100,2018-10-29,3
48,013,960100,48013960100,2018-11-02,2
